Shortname,Symbol,Category,Combined
3M Company,MMM,Industrial,3M Company - MMM
A.O. Smith Corporation,AOS,Industrial,A.O. Smith Corporation - AOS
Abbott Laboratories,ABT,Health Care,Abbott Laboratories - ABT
AbbVie Inc.,ABBV,Health Care,AbbVie Inc. - ABBV
Accenture plc,ACN,Information Technology,Accenture plc - ACN
Adobe Inc.,ADBE,Information Technology,Adobe Inc. - ADBE
"Advanced Micro Devices, Inc.",AMD,Information Technology,"Advanced Micro Devices, Inc. - AMD"
AFLAC Incorporated,AFL,Financial,AFLAC Incorporated - AFL
"Agilent Technologies, Inc.",A,Health Care,"Agilent Technologies, Inc. - A"
"Air Products and Chemicals, Inc",APD,Materials,"Air Products and Chemicals, Inc - APD"
"Airbnb, Inc.",ABNB,Travel,"Airbnb, Inc. - ABNB"
"Akamai Technologies, Inc.",AKAM,Information Technology,"Akamai Technologies, Inc. - AKAM"
Albemarle Corporation,ALB,Materials,Albemarle Corporation - ALB
Alexandria Real Estate Equities,ARE,Real Estate,Alexandria Real Estate Equities - ARE
"Align Technology, Inc.",ALGN,Health Care,"Align Technology, Inc. - ALGN"
Allegion plc,ALLE,Industrial,Allegion plc - ALLE
Alliant Energy Corporation,LNT,Utilities,Alliant Energy Corporation - LNT
Allstate Corporation (The),ALL,Financial,Allstate Corporation (The) - ALL
Alphabet Inc.,GOOG,Information Technology,Alphabet Inc. - GOOG
Alphabet Inc.,GOOGL,Information Technology,Alphabet Inc. - GOOGL
"Altria Group, Inc.",MO,Consumer,"Altria Group, Inc. - MO"
"Amazon.com, Inc.",AMZN,Consumer,"Amazon.com, Inc. - AMZN"
Amcor plc,AMCR,Materials,Amcor plc - AMCR
Ameren Corporation,AEE,Utilities,Ameren Corporation - AEE
"American Airlines Group, Inc.",AAL,Travel,"American Airlines Group, Inc. - AAL"
American Electric Power Company,AEP,Utilities,American Electric Power Company - AEP
American Express Company,AXP,Financial,American Express Company - AXP
"American International Group, I",AIG,Financial,"American International Group, I - AIG"
American Tower Corporation (REI,AMT,Real Estate,American Tower Corporation (REI - AMT
"American Water Works Company, I",AWK,Utilities,"American Water Works Company, I - AWK"
"Ameriprise Financial, Inc.",AMP,Financial,"Ameriprise Financial, Inc. - AMP"
"AMETEK, Inc.",AME,Industrial,"AMETEK, Inc. - AME"
Amgen Inc.,AMGN,Health Care,Amgen Inc. - AMGN
Amphenol Corporation,APH,Information Technology,Amphenol Corporation - APH
"Analog Devices, Inc.",ADI,Information Technology,"Analog Devices, Inc. - ADI"
"ANSYS, Inc.",ANSS,Information Technology,"ANSYS, Inc. - ANSS"
Aon plc,AON,Financial,Aon plc - AON
APA Corporation,APA,Utilities,APA Corporation - APA
Apple Inc.,AAPL,Consumer,Apple Inc. - AAPL
"Applied Materials, Inc.",AMAT,Information Technology,"Applied Materials, Inc. - AMAT"
Aptiv PLC,APTV,Consumer,Aptiv PLC - APTV
Arch Capital Group Ltd.,ACGL,Financial,Arch Capital Group Ltd. - ACGL
Archer-Daniels-Midland Company,ADM,Consumer,Archer-Daniels-Midland Company - ADM
"Arista Networks, Inc.",ANET,Information Technology,"Arista Networks, Inc. - ANET"
Arthur J. Gallagher & Co.,AJG,Financial,Arthur J. Gallagher & Co. - AJG
"Assurant, Inc.",AIZ,Financial,"Assurant, Inc. - AIZ"
AT&T Inc.,T,Information Technology,AT&T Inc. - T
Atmos Energy Corporation,ATO,Utilities,Atmos Energy Corporation - ATO
"Autodesk, Inc.",ADSK,Information Technology,"Autodesk, Inc. - ADSK"
"Automatic Data Processing, Inc.",ADP,Industrial,"Automatic Data Processing, Inc. - ADP"
"AutoZone, Inc.",AZO,Consumer,"AutoZone, Inc. - AZO"
"AvalonBay Communities, Inc.",AVB,Real Estate,"AvalonBay Communities, Inc. - AVB"
Avery Dennison Corporation,AVY,Materials,Avery Dennison Corporation - AVY
"Axon Enterprise, Inc.",AXON,Industrial,"Axon Enterprise, Inc. - AXON"
Baker Hughes Company,BKR,Utilities,Baker Hughes Company - BKR
Ball Corporation,BALL,Materials,Ball Corporation - BALL
Bank of America Corporation,BAC,Financial,Bank of America Corporation - BAC
"Bath & Body Works, Inc.",BBWI,Consumer,"Bath & Body Works, Inc. - BBWI"
Baxter International Inc.,BAX,Health Care,Baxter International Inc. - BAX
"Becton, Dickinson and Company",BDX,Health Care,"Becton, Dickinson and Company - BDX"
Berkshire Hathaway Inc. New,BRK-B,Real Estate,Berkshire Hathaway Inc. New - BRK-B
"Best Buy Co., Inc.",BBY,Consumer,"Best Buy Co., Inc. - BBY"
Biogen Inc.,BIIB,Health Care,Biogen Inc. - BIIB
"Bio-Rad Laboratories, Inc.",BIO,Health Care,"Bio-Rad Laboratories, Inc. - BIO"
Bio-Techne Corp,TECH,Health Care,Bio-Techne Corp - TECH
"BlackRock, Inc.",BLK,Financial,"BlackRock, Inc. - BLK"
Blackstone Inc.,BX,Financial,Blackstone Inc. - BX
Boeing Company (The),BA,Industrial,Boeing Company (The) - BA
Booking Holdings Inc. Common St,BKNG,Consumer,Booking Holdings Inc. Common St - BKNG
BorgWarner Inc.,BWA,Consumer,BorgWarner Inc. - BWA
"Boston Properties, Inc.",BXP,Real Estate,"Boston Properties, Inc. - BXP"
Boston Scientific Corporation,BSX,Health Care,Boston Scientific Corporation - BSX
Bristol-Myers Squibb Company,BMY,Health Care,Bristol-Myers Squibb Company - BMY
Broadcom Inc.,AVGO,Information Technology,Broadcom Inc. - AVGO
"Broadridge Financial Solutions,",BR,Financial,"Broadridge Financial Solutions, - BR"
"Brown & Brown, Inc.",BRO,Financial,"Brown & Brown, Inc. - BRO"
Brown Forman Inc,BF-B,Consumer,Brown Forman Inc - BF-B
"Builders FirstSource, Inc.",BLDR,Industrial,"Builders FirstSource, Inc. - BLDR"
Bunge Limited,BG,Consumer,Bunge Limited - BG
"C.H. Robinson Worldwide, Inc.",CHRW,Industrial,"C.H. Robinson Worldwide, Inc. - CHRW"
"Cadence Design Systems, Inc.",CDNS,Information Technology,"Cadence Design Systems, Inc. - CDNS"
"Caesars Entertainment, Inc.",CZR,Consumer,"Caesars Entertainment, Inc. - CZR"
Camden Property Trust,CPT,Real Estate,Camden Property Trust - CPT
Campbell Soup Company,CPB,Consumer,Campbell Soup Company - CPB
Capital One Financial Corporati,COF,Financial,Capital One Financial Corporati - COF
"Cardinal Health, Inc.",CAH,Health Care,"Cardinal Health, Inc. - CAH"
CarMax Inc,KMX,Consumer,CarMax Inc - KMX
Carnival Corporation,CCL,Consumer,Carnival Corporation - CCL
Carrier Global Corporation,CARR,Industrial,Carrier Global Corporation - CARR
"Catalent, Inc.",CTLT,Health Care,"Catalent, Inc. - CTLT"
"Caterpillar, Inc.",CAT,Industrial,"Caterpillar, Inc. - CAT"
"Cboe Global Markets, Inc.",CBOE,Financial,"Cboe Global Markets, Inc. - CBOE"
CBRE Group Inc,CBRE,Real Estate,CBRE Group Inc - CBRE
CDW Corporation,CDW,Information Technology,CDW Corporation - CDW
Celanese Corporation,CE,Materials,Celanese Corporation - CE
"Cencora, Inc.",COR,Health Care,"Cencora, Inc. - COR"
Centene Corporation,CNC,Health Care,Centene Corporation - CNC
"CenterPoint Energy, Inc (Holdin",CNP,Utilities,"CenterPoint Energy, Inc (Holdin - CNP"
"CF Industries Holdings, Inc.",CF,Materials,"CF Industries Holdings, Inc. - CF"
Charles River Laboratories Inte,CRL,Health Care,Charles River Laboratories Inte - CRL
